134,Women ,Normal Shawl,93,150,120,11,1320
135,Women ,Normal Shawl,100,175,130,7,910
136,Women ,Normal Shawl,108,199,140,6,840
137,Women ,Normal Shawl,124,199,160,5,800
138,Women ,Normal Shawl,131,225,170,4,680
139,Women ,Palazo Set,327,599,425,4,1700
140,Women ,Palazzo / pattiyala,104,199,135,1,135
141,Women ,Palazzo / pattiyala,116,200,150,3,450
142,Women ,Palazzo / pattiyala,154,250,199,4,796
143,Women ,Palazzo / pattiyala,185,300,240,2,480
144,Women ,Palazzo / pattiyala,192,325,249,2,498
145,Women ,Palazzo / pattiyala,192,350,249,8,1992
146,Women ,Palazzo / pattiyala,224,399,290,1,290
147,Women ,Palazzo / pattiyala,230,399,299,1,299
148,Women ,Palazzo / pattiyala,300,500,389,1,389
149,Women ,Palazzo / pattiyala,324,550,420,1,420
150,Women ,Palazzo / pattiyala,454,799,589,2,1178
151,Women ,Palazzo / pattiyala,477,1299,619,1,619
152,Women ,Parallel Pants,177,325,230,1,230
153,Women ,Paratha ,530,999,689,6,4134
154,Women ,Paratha ,607,1100,789,1,789
155,Women ,Paratha ,992,1799,1289,3,3867
156,Women ,Paratha ,1069,1900,1389,1,1389
157,Women ,Paratha cap ,16,50,20,20,400
158,Women ,Paratha shawl,77,199,100,2,200
159,Women ,Paratha shawl,85,199,110,1,110
160,Women ,pharash,1915,3499,2489,1,2489
161,Women ,Plain Shawl,62,100,80,13,1040
162,Women ,Running Material (per meter),116,200,150,37,5550
163,Women ,Running Material (per meter),154,275,200,30,6000
164,Women ,Running Material (per meter),162,275,210,26,5460
165,Women ,Running Material (per meter),231,400,300,8,2400
166,Women ,Saree,293,500,380,1,380
167,Women ,Saree,470,825,610,1,610
168,Women ,Saree,577,1000,750,1,750
169,Women ,Saree,700,1299,910,1,910
170,Women ,Saree ,300,550,390,3,1170
171,Women ,scarf,47,100,60,9,540
172,Women ,Shirt,246,499,319,6,1914
173,Women ,Shirt,261,499,339,4,1356
174,Women ,Short Shrugg,247,499,320,2,640
175,Women ,Short Top,116,200,150,1,150
176,Women ,Short Top,177,350,230,2,460
177,Women ,Short Top,193,350,250,7,1750
178,Women ,Short Top,216,399,280,2,560
179,Women ,Short Top,231,399,300,1,300
180,Women ,Short Top,254,450,329,2,658
181,Women ,Short Top,270,499,350,2,700
182,Women ,Short Top,293,499,380,1,380
183,Women ,Short Top,300,499,389,3,1167
184,Women ,Short Top,347,600,450,1,450
185,Women ,Short Top,354,600,459,2,918
186,Women ,Short Top,377,699,489,2,978
187,Women ,Short Top,384,699,499,2,998
188,Women ,Short Top,393,699,510,1,510
189,Women ,Short Top,446,799,579,5,2895
190,Women ,Short Top,454,799,589,19,11191
191,Women ,Short Top,530,900,689,2,1378
192,Women ,Short Top,584,1099,759,3,2277
193,Women ,Work Shawl,223,399,289,1,289
194,Women ,Work Shawl,231,399,300,1,300
195,Women ,Work Shawl,247,450,320,1,320
